# trajectory
# file: 'dataset-seq4.bag'
# topic: '/vrpn_client/raw_transform'
# timestamp tx ty tz qx qy qz qw
1548685904.979255348 0.5464295315 0.5800824518 1.2888951649 -0.4746386087 -0.4743849652 -0.5398131157 0.5082114678
1548685904.987588348 0.5469668869 0.5801598896 1.2889842732 -0.4747834358 -0.4742291038 -0.5398833418 0.5081470491
1548685904.995921348 0.5475226737 0.5802251252 1.2890618578 -0.4749009283 -0.4741257809 -0.5399158192 0.5080991640
1548685905.004255348 0.5481125071 0.5802783305 1.2891297892 -0.4749997110 -0.4740743670 -0.5400184819 0.5079456746
1548685905.012588348 0.5487040096 0.5803540241 1.2891848869 -0.4751585926 -0.4739463943 -0.5400812419 0.5078497607
1548685905.020921348 0.5493305357 0.5804130620 1.2892495154 -0.4753193746 -0.4738455989 -0.5400914039 0.5077825480
1548685905.029255348 0.5501072005 0.5803029363 1.2891832677 -0.4752838294 -0.4747678384 -0.5401884031 0.5068503431
1548685905.037588348 0.5506883542 0.5804710194 1.2892421233 -0.4754850212 -0.4740261165 -0.5399006755 0.5076617930
1548685905.045922348 0.5512984735 0.5806530743 1.2892974900 -0.4756925591 -0.4733632518 -0.5399677518 0.5080144172
1548685905.054255348 0.5519949921 0.5807197891 1.2893284291 -0.4758287132 -0.4733014518 -0.5399096398 0.5080062522
1548685905.062588348 0.5526884700 0.5807653159 1.2893834751 -0.4761022910 -0.4732750309 -0.5398519502 0.5078358253
1548685905.070922348 0.5534131005 0.5808361041 1.2893948704 -0.4763543510 -0.4733251535 -0.5398610214 0.5075430119
1548685905.079255348 0.5541223957 0.5810385369 1.2893076801 -0.4762893054 -0.4725644915 -0.5399841781 0.5081814501
1548685905.087588348 0.5549101907 0.5810104248 1.2893520434 -0.4766334534 -0.4728910725 -0.5399238247 0.5076188020
1548685905.095922348 0.5556649820 0.5811291697 1.2893095284 -0.4768047731 -0.4725421614 -0.5399930500 0.5077091884
1548685905.104255348 0.5564465402 0.5812741946 1.2892778137 -0.4767959347 -0.4722302972 -0.5402100874 0.5077767663
1548685905.112588348 0.5572290225 0.5814235195 1.2891980454 -0.4769457397 -0.4718152190 -0.5403449705 0.5078784041
1548685905.120921348 0.5580115826 0.5815945073 1.2891087316 -0.4770918417 -0.4713786426 -0.5405176239 0.5079628413
1548685905.129255348 0.5587831379 0.5817792751 1.2890298023 -0.4772876600 -0.4708646454 -0.5406533508 0.5081111390
1548685905.137588348 0.5595954327 0.5819932654 1.2889390150 -0.4773928617 -0.4705106066 -0.5409344839 0.5080410503
1548685905.145921348 0.5604102592 0.5822304426 1.2888615727 -0.4775657239 -0.4701049864 -0.5411276032 0.5080484210
1548685905.154255348 0.5612119312 0.5824934327 1.2887625494 -0.4777974228 -0.4697360575 -0.5412795846 0.5080099116
1548685905.162588348 0.5620181513 0.5827713129 1.2886939874 -0.4780688390 -0.4693872321 -0.5414246345 0.5079224121
1548685905.170922348 0.5628595464 0.5830685871 1.2886286291 -0.4783293774 -0.4689809028 -0.5416303836 0.5078330897
1548685905.179255348 0.5636906981 0.5833976192 1.2885061781 -0.4785908691 -0.4686360061 -0.5417771460 0.5077485577
1548685905.187588348 0.5645225282 0.5837275761 1.2884481236 -0.4790042683 -0.4682182208 -0.5419238458 0.5075875826
1548685905.195922348 0.5653706017 0.5840770828 1.2883318941 -0.4793588349 -0.4677938739 -0.5420976402 0.5074585180
1548685905.204255348 0.5662213813 0.5844471348 1.2881893278 -0.4797208403 -0.4673346981 -0.5422973950 0.5073260596
1548685905.212588348 0.5670972413 0.5848846148 1.2880288022 -0.4799194698 -0.4666981226 -0.5425516483 0.5074523366
1548685905.220922348 0.5679853901 0.5852095041 1.2879507983 -0.4804062975 -0.4664020215 -0.5427979930 0.5070002786
1548685905.229255348 0.5688820512 0.5856763539 1.2877401176 -0.4806161316 -0.4656570561 -0.5430428266 0.5072239433
1548685905.237588348 0.5697819078 0.5861025790 1.2875531006 -0.4810120755 -0.4650046438 -0.5433704211 0.5070962927
1548685905.245921348 0.5706703740 0.5864718346 1.2874622794 -0.4816146140 -0.4646547378 -0.5435837041 0.5066163191
